experiment,study
https://w3id.org/mexo/resource/experiment/exp-k2009-f28-de,https://w3id.org/mexo/resource/study/study-karaboga-akay-2009
https://w3id.org/mexo/resource/experiment/exp-k2009-f28-ga,https://w3id.org/mexo/resource/study/study-karaboga-akay-2009
https://w3id.org/mexo/resource/experiment/exp-k2009-f28-pso,https://w3id.org/mexo/resource/study/study-karaboga-akay-2009
https://w3id.org/mexo/resource/experiment/exp-k2009-f29-abc,https://w3id.org/mexo/resource/study/study-karaboga-akay-2009
https://w3id.org/mexo/resource/experiment/exp-k2009-f29-de,https://w3id.org/mexo/resource/study/study-karaboga-akay-2009
https://w3id.org/mexo/resource/experiment/exp-k2009-f29-ga,https://w3id.org/mexo/resource/study/study-karaboga-akay-2009
https://w3id.org/mexo/resource/experiment/exp-k2009-f29-pso,https://w3id.org/mexo/resource/study/study-karaboga-akay-2009
https://w3id.org/mexo/resource/experiment/exp-k2009-f30-abc,https://w3id.org/mexo/resource/study/study-karaboga-akay-2009
https://w3id.org/mexo/resource/experiment/exp-k2009-f30-de,https://w3id.org/mexo/resource/study/study-karaboga-akay-2009
https://w3id.org/mexo/resource/experiment/exp-k2009-f30-ga,https://w3id.org/mexo/resource/study/study-karaboga-akay-2009
https://w3id.org/mexo/resource/experiment/exp-k2009-f30-pso,https://w3id.org/mexo/resource/study/study-karaboga-akay-2009
https://w3id.org/mexo/resource/experiment/exp-k2009-f31-abc,https://w3id.org/mexo/resource/study/study-karaboga-akay-2009
https://w3id.org/mexo/resource/experiment/exp-k2009-f31-de,https://w3id.org/mexo/resource/study/study-karaboga-akay-2009
https://w3id.org/mexo/resource/experiment/exp-k2009-f31-ga,https://w3id.org/mexo/resource/study/study-karaboga-akay-2009
https://w3id.org/mexo/resource/experiment/exp-k2009-f31-pso,https://w3id.org/mexo/resource/study/study-karaboga-akay-2009
https://w3id.org/mexo/resource/experiment/exp-k2009-f32-abc,https://w3id.org/mexo/resource/study/study-karaboga-akay-2009
https://w3id.org/mexo/resource/experiment/exp-k2009-f32-de,https://w3id.org/mexo/resource/study/study-karaboga-akay-2009
